first_name,last_name,birth_date
Oksana,Gide,1953-03-07
Dante,Rothe,1954-10-26
Arve,Hofmeyr,1954-11-26
Sanjoy,Ranft,1955-06-14
Amalendu,Picci,1955-02-19
Tadahiro,Lichtman,1954-12-13
Koichi,Marrakchi,1952-05-22
Aksel,Kossowski,1953-11-27
Jiafu,Emiris,1953-02-02
Sanjay,Anick,1953-04-22
Chandrasekaran,Lampe,1953-07-17
Gaurav,Penz,1954-06-19
Chenxi,Thambidurai,1954-08-12
Rosine,Grandbois,1953-06-05
Amabile,Bhattacharjee,1952-12-08
Gita,Muhlberg,1952-04-27
Niranjan,Markovitch,1955-05-25
Arto,Zlotek,1952-05-18
Taiji,Nitta,1955-04-13
Shawna,Demeyer,1953-10-30
Zeljko,Kusakabe,1952-06-19
Divier,Farrag,1955-12-03
Pradeep,Kriebel,1952-06-14
Nalini,Sommen,1953-05-02
Cheong,Riexinger,1953-01-17
Nectarios,Bhattacharjee,1952-05-27
Mitchel,Validov,1954-12-23
Cordelia,Setlzner,1952-11-23
Hideo,Boguraev,1955-04-26
Miomir,Mawatari,1954-08-16
Gunilla,Chiodo,1952-10-30
Basil,Erman,1953-08-15
Martijn,Harbusch,1953-01-27
Jaana,Hedayat,1953-01-04
Vidya,Schaar,1954-12-29
Chinya,Chinin,1953-08-10
Marit,Dalphin,1955-10-29
Zhilian,Coorg,1953-12-16
Jaewoo,Heiserman,1953-05-04
Visit,Serot,1955-05-06
Mads,Ratzlaff,1953-03-02
Arunas,Katzenelson,1954-01-11
Yuchang,Tchuente,1953-06-08
Masako,Khasidashvili,1953-11-13
Margareta,Worfolk,1954-01-20
Ayonca,Burnard,1953-12-27
Ger,Shokrollahi,1955-07-23
Karlis,Siprelle,1955-03-16
Xinan,Yamaashi,1953-09-20
Weijing,Jumpertz,1953-05-09
Bilhanan,Socorro,1954-06-21
Nobuyoshi,Kuzuoka,1953-01-12
Becky,Erie,1955-02-03
Satyanarayana,Avouris,1953-07-01
Satoru,Krone,1954-06-27
Xiahua,Syrzycki,1954-07-08
Shounak,Erman,1953-04-16
Yannik,Barreiro,1953-09-13
Suebskul,Grandbois,1954-10-25
Shem,Perly,1955-08-15
Xiaobin,Maquelin,1952-11-19
Adel,Nanard,1955-02-03
Harngdar,Iisaku,1954-06-29
Feiyu,Klyachko,1954-11-06
Sushant,Rossi,1955-08-24
Barton,Janetzko,1954-11-21
Yaghout,Strooper,1954-08-01
Vincent,Melter,1955-07-14
Abdelwaheb,Holburn,1953-03-04
Niteen,Koyama,1954-07-27
Subbu,Penttonen,1952-03-26
Eldridge,Sadowski,1952-09-20
Chaitali,Stafford,1953-04-04
Guadalupe,Reghbati,1955-02-15
Mart,Pagter,1953-12-30
Shakhar,Kornyak,1953-08-10
Behnaam,Grandbois,1955-10-16
Garnik,Papadias,1955-02-01
Yongmin,Lenart,1955-05-03
Godehard,Braccini,1952-08-20
Mototsugu,Cronau,1952-02-17
Susanne,Lubachevsky,1955-02-11
Chenye,Velasco,1954-04-06
DAIDA,Bruckman,1952-05-21
Arnould,Genin,1952-11-25
Rasiah,Luga,1955-02-13
Sorina,Slaats,1952-10-18
Kamakshi,Bisiani,1954-01-21
Mooi,Driscoll,1953-04-26
Sanjit,Felder,1955-01-08
Mihalis,Luga,1955-11-15
Shao,Ibel,1952-05-31
Hugh,Gadepally,1955-06-17
Uri,Sluis,1952-06-05
Dannz,Spelt,1955-11-18
Berhard,Demos,1954-12-04
Pramod,Marzano,1955-04-25
Kerryn,Farris,1954-08-21
Shai,Milicic,1955-09-08
Filipe,Roison,1953-03-30
Yahiko,Hopewell,1954-10-23
Mona,Reghbati,1954-04-24
Arnould,Munck,1955-01-23
Jackson,Muchinsky,1955-08-08
Filipp,Menhardt,1953-07-16
Stein,Penz,1953-08-26
Morrie,Matheson,1954-11-22
Adly,Rosaz,1953-01-04
Tomofumi,Melter,1952-11-14
Conor,Cincotta,1952-11-20
Yongmao,Gerlach,1953-01-31
Shih,Nanard,1952-04-22
Kazuhide,Bouloucos,1954-07-26
Jeane,Tzvieli,1954-03-15
Aral,Vesna,1954-05-08
Stafford,Kopetz,1954-01-01
Anoosh,Chleq,1952-11-23
Breannda,Roisin,1955-10-10
Ghassan,Simkin,1955-08-16
Nectarios,Mondadori,1955-10-27
Xinyu,Restivo,1952-11-09
Poorav,Karner,1955-06-03
Yuqun,Seiwald,1954-11-09
Suebskul,Gips,1955-09-27
Pragnesh,Bael,1952-07-24
Leucio,Alvarado,1952-08-02
Nobuyoshi,Stellhorn,1954-10-31
Zhonghua,Parveen,1952-05-01
Carrsten,Borovoy,1952-12-07
Luerbio,Boudaillier,1953-01-19
Oddvar,Gils,1952-10-17
Kazuhira,Luders,1954-12-19
Uri,Brizzi,1955-06-25
Ronghao,Botman,1955-08-09
Tzu,Jiafu,1953-04-17
Elliott,Cheshire,1955-09-23
Fumitake,Panwar,1954-03-27
Nahla,Rahier,1954-05-18
Barry,Perl,1953-07-01
Yongmao,Waymire,1953-05-09
Mara,Takanami,1952-09-27
Gil,Frijda,1952-03-05
Rildo,Rodite,1955-02-20
LiMin,Kuszyk,1953-05-05
Jenwei,Lovengreen,1952-06-26
Mariangiola,Berendt,1952-10-21
Gunilla,Perl,1953-02-05
Masoud,Fordan,1952-05-06
Lillian,Beeson,1952-05-18
Gad,Boissier,1952-05-12
Sushant,Junot,1955-03-25
Freyja,Ramras,1952-10-15
Mountaz,Gubsky,1953-07-30
Krisda,Cyne,1954-10-24
Kazuhide,Smeets,1953-01-17
Mang,Brobst,1953-10-06
Leif,Matheson,1954-08-02
Marl,Schmittgen,1953-02-18
Apostol,Goodrum,1953-12-05
Baruch,Eugenio,1955-09-07
Martien,Erni,1955-11-05
Neven,Casley,1955-10-05
Licheng,Crouzet,1954-10-09
Roddy,Serot,1952-04-28
Munehiro,Gecsei,1955-01-24
Jacqueline,Porenta,1955-09-01
Heekeun,Luby,1952-04-24
Arup,Cincotta,1953-03-17
Odinaldo,Farrar,1953-10-25
Tommaso,Perelgut,1954-07-29
Geoff,Asrin,1955-02-24
Mohammad,Keirsey,1954-06-15
Juyoung,Azevdeo,1952-10-16
Gift,Frolund,1953-08-13
Byong,Markovitch,1954-11-29
Elliott,Hambrick,1954-04-07
Florina,Harbusch,1952-02-12
Yahiko,Kroll,1955-02-12
Vivian,Stafford,1953-03-09
Atilio,Chelton,1953-04-24
Fan,Naudin,1955-08-28
Xinglin,Baak,1953-11-10
Rosella,Morrin,1955-05-24
Deniz,Skafidas,1954-03-09
Ibibia,Armand,1953-01-03
Srinidhi,Ellozy,1952-05-09
Kwun,Landherr,1953-08-05
Quingbo,Garnick,1955-11-06
Guther,Senzako,1955-06-21
Lorien,Chepyzhov,1955-06-25
Persi,Nollmann,1952-07-11
Haldon,Erie,1953-11-01
Shichao,Ginesta,1955-12-28
Akeel,Millington,1952-04-19
Lucian,Benner,1954-09-09
Munir,Stentiford,1954-06-10
Cheong,Bernardeschi,1955-10-25
Anoosh,Birnbaum,1954-12-29
Arve,Horswill,1953-04-20
Moty,Janocha,1955-09-09
Kokou,Rodite,1954-02-25
Kyoichi,Barbanera,1955-06-19
Rosita,Flowers,1953-01-28
Aram,Scharstein,1953-05-10
Jianhua,Klassen,1953-06-19
Hein,Billawala,1954-12-29
Premsyl,Famili,1955-05-17
Mitchel,Fujisaki,1955-01-29
Alselm,Chvatal,1954-08-11
Ebru,Foote,1953-02-23
King,Pileggi,1955-02-14
Fay,Huxford,1953-12-23
Zeydy,Schusler,1954-02-20
Arun,Jiang,1953-10-11
Yechiam,Seuren,1955-05-07
Muneo,Broomell,1952-08-24
Georg,Stamatiou,1952-04-29
Guiseppe,Butner,1953-12-07
Mack,Alencar,1954-06-21
Bikash,Herath,1952-04-25
Sakthirel,Stroustrup,1955-09-08
Nidapan,Pearson,1954-12-02
Yoshinari,Hennebert,1953-07-17
Bodh,Doering,1953-06-02
Heon,Usery,1952-04-06
Kiyokazu,Klassen,1953-12-29
Nakhoon,Riexinger,1954-01-23
Juichirou,Naumovich,1954-09-08
Claudi,Buchter,1954-11-15
Khosrow,Sgarro,1952-04-27
Divine,Cmelik,1954-04-26
Fumitake,Beidas,1953-04-05
Chuanyi,Aumann,1952-05-19
Augustine,Dulli,1955-05-15
Randy,Baba,1954-01-19
Gio,Chenoweth,1954-01-09
Sreekrishna,Lagarias,1954-12-27
Nathalie,Speer,1955-06-23
Vishwani,Gerlach,1952-08-20
Giordano,Miake,1953-03-14
Mayuko,Puppo,1954-07-22
Renee,Dehkordi,1954-12-22
Gretta,Weiland,1952-03-21
Shooichi,Parfitt,1955-06-27
Feipei,Nivat,1954-12-21
Theron,Berstel,1954-08-29
Sasan,Rehfuss,1953-11-01
Uinam,Jullig,1954-09-08
Parto,Mandell,1954-01-09
Jaewoo,Tasistro,1955-07-28
Chaoyi,Porotnikoff,1955-11-06
Arunas,Schlenzig,1954-12-25
Aimee,Brookner,1955-02-22
Matk,Koprowski,1952-05-02
Ingmar,Capobianchi,1955-03-23
Sibyl,Jeong,1952-04-15
Jungsoon,Engberts,1954-08-05
Tadahiko,Christianini,1953-09-26
Dmitry,Encarnacion,1953-08-02
Fei,Haddadi,1954-02-28
Zhigen,Yurek,1952-12-15
Dzung,Trelles,1954-09-13
Zejun,Lamba,1954-03-28
Stamatina,Plesums,1955-10-09
Kristen,Iivonen,1955-01-01
Moti,Takanami,1953-05-06
Denny,Speer,1953-08-08
Elvia,Christ,1955-05-03
Weicheng,Hockney,1954-05-02
Shuichi,Weedon,1953-04-07
Domenico,Mitchem,1954-01-11
Vishu,Kumaresan,1955-05-26
Sugwoo,Delgrossi,1952-07-01
Vitali,Merey,1952-08-13
Bangqing,Mitchem,1953-02-05
Masaru,Capobianchi,1955-05-11
Tremaine,Heemskerk,1952-05-03
Sedat,Lovengreen,1953-08-13
Yakichi,Trogemann,1955-10-07
Arve,Maierhofer,1955-06-30
Takushi,Berendt,1952-02-27
Xiaobin,Sinicrope,1952-08-10
Takahira,Furedi,1955-05-26
Valery,Sury,1953-05-06
Mayuri,Gewali,1954-02-06
Paloma,Thorelli,1953-07-02
Shih,Mayerwieser,1952-05-27
Kiyotoshi,Basagni,1953-07-05
Guadalupe,Plotkin,1953-04-19
Arlette,Pell,1955-06-12
Christophe,Spinelli,1952-12-10
Juichirou,Cichocki,1954-01-21
Guiseppe,Welham,1952-08-01
Mingsen,Roohalamini,1952-03-10
Anoosh,Fujisawa,1952-08-01
Kwangyoen,Barreiro,1954-04-04
Kensei,Swift,1953-05-03
Ult,Schonegge,1952-11-15
Youngkon,Cairo,1954-02-19
Serge,Albarhamtoshy,1955-05-03
Vidya,Wynblatt,1952-04-25
Sukumar,Chartres,1952-04-28
Shiv,Bratsberg,1953-11-20
Elzbieta,Esteva,1953-04-17
Mooi,Genther,1953-01-28
Nechama,Hettesheimer,1953-01-03
Maris,Ghelli,1955-11-14
Boguslaw,Cooman,1954-01-03
Jianwen,Chandrasekhar,1953-06-06
Turgut,Highland,1953-08-27
Geraldo,Ramsey,1952-02-16
Deborah,Schapiro,1952-03-07
Ulises,Kenevan,1955-09-27
Florian,Crouzet,1952-11-25
Vojin,Stellhorn,1955-04-08
Manibrata,Picaronny,1952-06-21
Aloys,Seghrouchni,1952-05-07
Shan,DeMori,1954-05-09
Ymte,Alpin,1953-06-28
Godehard,Trachtenberg,1955-04-03
Mori,Leslie,1953-06-03
Feixiong,Jording,1955-05-11
Xiahua,Rindone,1953-01-05
Leszek,Cummings,1955-03-27
Along,Herber,1955-07-06
Kasturi,Anido,1953-03-09
Sachin,Conry,1955-03-06
Adas,Hertweck,1953-08-11
Jiann,Luby,1952-09-07
Adin,Chachaty,1955-08-25
Masanao,Kusakabe,1955-10-24
Tomofumi,Pargas,1952-05-01
Guther,Conta,1952-02-24
Masali,Bojadziev,1954-09-19
Xuedong,Angiulli,1952-06-14
Abdulla,Gerlach,1954-10-17
Sudhanshu,Benaini,1955-03-14
Chikara,Narahara,1953-10-07
Kwok,Massonet,1952-05-07
Tristan,Aseltine,1953-08-29
Masali,Highland,1955-11-29
Paraskevi,Gist,1955-02-11
Miyeon,Olivero,1955-01-21
Susanna,Vigier,1953-08-21
Qunsheng,Middleton,1955-02-10
Chriss,Granlund,1953-10-02
Marlo,Leuchs,1953-06-07
Sreenivas,Schaar,1953-06-17
Shem,Kakkad,1952-08-14
Golgen,Leslie,1952-05-31
Vitaly,Wixon,1955-01-03
Otilia,Buescher,1955-02-10
Barry,Ramsey,1954-08-26
Mong,Bojadziev,1954-05-30
Janche,Erbe,1955-05-25
Saniya,Srimani,1952-04-15
Shigeu,Heemskerk,1952-05-30
Tomofumi,Holburn,1954-04-30
Toshimo,Gadepally,1953-10-09
Elvis,Maginnis,1954-07-08
Raimond,Woycyznski,1953-07-27
Divine,Manders,1954-10-25
Yagil,Lueh,1955-11-28
Munehiro,Boissier,1952-05-01
Moti,Lammel,1952-10-30
Supot,Marrevee,1954-11-01
Indrajit,Birdsall,1952-07-06
Xiong,Selenyi,1953-11-03
Taizo,Kroft,1952-06-11
Danil,Aloia,1954-09-05
Samphel,Barreiro,1953-08-02
Fay,Denny,1955-05-27
Kazuhisa,Versino,1952-02-22
Kristian,Underwood,1955-10-19
Patricia,Peir,1955-06-19
Chuanyi,Ranta,1955-08-07
Kensei,Borovoy,1953-12-18
Babette,Engelmann,1953-12-03
Ashish,Danlos,1954-10-17
Ibibia,Snyers,1953-03-21
Fatemeh,Zultner,1954-08-27
Elrique,Driscoll,1952-03-15
Gao,Condotta,1955-08-05
Kiyokazu,Morrin,1954-06-07
Jayson,Cairo,1952-12-22
Lech,Marquardt,1954-11-13
Suzette,Selvestrel,1953-06-05
Jianhua,Erev,1954-06-15
Souichi,Wixon,1953-01-17
Gudjon,McClurg,1955-08-02
Arvind,Hempstead,1954-04-03
Toshimori,Kornatzky,1952-10-17
Florian,Kuhnemann,1955-06-29
Laurentiu,Glinert,1955-03-06
IEEE,Lorys,1955-03-28
Jingling,Segond,1955-03-06
Sashi,Adachi,1952-11-19
Teunis,Angel,1955-08-02
Herbert,Sifakis,1955-11-29
Alois,Basart,1955-03-02
Yechezkel,Bellone,1953-11-07
Brewster,Stranks,1952-12-08
Mahmut,Hainaut,1954-06-03
Terresa,Ballarin,1955-07-15
Sachin,Jakobus,1954-06-19
Constantino,Assaf,1953-08-23
Aron,Lemarechal,1955-12-19
Gio,Sigstam,1954-10-05
Marlo,Bruckman,1952-09-08
Zhonghua,Kaiser,1955-04-23
Stein,Uchoa,1954-11-11
Odysseas,Nishimukai,1955-09-01
Gaurav,Masaki,1955-04-13
Oguz,Kilgore,1954-12-09
Changho,Cronin,1952-09-21
Magy,Joslin,1954-12-13
Taiji,Nergos,1952-06-30
Angus,Perko,1953-05-22
Ute,Serra,1955-08-28
Arnd,Kaiserswerth,1954-07-08
Arto,Meriste,1955-11-15
Anyuan,Sigstam,1954-02-18
Temple,Barriga,1952-02-14
Alejandro,Casley,1954-02-26
Karsten,Baja,1953-04-19
Adil,Parveen,1953-01-06
Kerhong,Flanders,1952-05-27
Mohan,Kamble,1954-12-31
Xiaobin,Chelton,1952-10-20
Gretta,Benzaken,1953-04-20
Huican,Picco,1952-05-20
Shuzo,Gyorkos,1953-10-08
Satoru,Mukaidono,1955-06-23
Nathan,Lichtner,1952-03-21
Heon,Benveniste,1955-01-22
Insup,Reinhart,1952-09-21
Fox,Magliocco,1955-04-04
Boguslaw,Kalefeld,1954-06-23
Kerryn,Hiyoshi,1952-11-08
Zhanqiu,Underwood,1954-02-23
Fan,Simmen,1955-04-07
Hyuckchul,Pouyioutas,1955-06-10
Tiina,Demeyer,1952-12-14
Sanjay,Koblitz,1955-10-29
Kiam,Sadowsky,1954-04-02
Woody,Gulik,1953-05-27
Ramalingam,Prenel,1954-08-08
Qingxiang,Shokrollahi,1953-07-29
Yurii,Rullman,1955-03-06
Giordano,Koshino,1954-04-08
Rasikan,Nourani,1954-02-21
Ziva,Delgrande,1953-04-22
Khun,Waymire,1954-12-23
Flemming,Kranzdorf,1955-02-03
Shrikanth,Sherertz,1953-03-26
Tomokazu,Oaver,1953-06-03
Manton,Siksek,1952-12-08
Ayonca,Couchot,1953-10-31
Radoslaw,Rijsenbrij,1952-12-13
Toshiki,Taubenfeld,1954-11-29
Guadalupe,Zirintsis,1953-04-06
Chirstian,Ushiama,1954-10-11
Giri,Coney,1952-12-01
Remmert,Bahi,1955-06-22
Luigi,Axelband,1952-07-02
Sudhanshu,Itzigehl,1953-03-11
Zhiguo,Giaccio,1955-07-15
Pantung,Honglei,1955-08-07
Kagan,Malinowski,1953-08-05
Arun,Luiz,1952-08-02
Haldon,Servieres,1954-08-16
Urs,Pouyioutas,1953-11-13
Charlene,Sankaranarayanan,1953-10-11
Neelam,Schach,1955-12-07
Souichi,Duclos,1955-03-12
Heeju,Bernardinello,1953-08-11
Pranay,Irland,1954-05-22
Cheong,Rodiger,1955-03-12
Sudharsan,Shokrollahi,1954-08-17
Shuky,Conry,1955-05-30
Mona,Salvesen,1953-11-18
Keiichiro,Suessmith,1954-01-10
Jouko,Zhiwei,1955-10-18
Reinhard,Sadowsky,1953-09-02
Mountaz,Famili,1954-02-07
Edwin,Baar,1952-03-17
Ayonca,Pardalos,1954-03-17
Guther,Karcich,1953-04-04
Eric,Reghbati,1955-11-01
Shiv,Bernardeschi,1953-10-17
Adam,Rohrbach,1954-03-22
Miyeon,Lammel,1954-12-26
Lobel,Peak,1954-06-26
Deniz,Linnainmaa,1954-08-21
Ziya,Lunn,1953-05-10
Fan,Openshaw,1954-12-21
Jaroslava,Chinal,1955-10-08
Luerbio,Kuzuoka,1953-11-24
Masaru,Radivojevic,1953-10-05
Chaosheng,Luce,1955-05-21
Chikara,Nyrup,1954-10-08
Mikhail,Schiettecatte,1952-03-09
Premal,Penttonen,1952-10-11
Chuanyi,Nilsson,1955-07-02
Nahum,Broder,1954-01-22
Shuho,Manders,1953-02-14
Shugo,Aumann,1953-12-08
Alassane,Siegrist,1952-07-28
Genki,Sambasivam,1955-02-13
Pradeep,Markovitch,1955-02-07
Maik,Penttonen,1955-02-27
Wilmer,Kushner,1954-08-18
Huai,Thiria,1954-05-17
Constantijn,Munoz,1953-08-17
Arvind,Weisert,1954-03-11
Kazuhira,Weedman,1954-01-14
Hongzue,Cesareni,1954-05-20
Weiwu,Huhdanpaa,1952-03-30
Gilbert,Plumb,1953-09-21
Zhenbing,Soicher,1955-10-24
Kwok,Trogemann,1955-08-06
Kasturi,Alpin,1954-09-12
Collette,Mikschl,1954-10-18
Inderjeet,Sethi,1954-01-13
George,Kowalchuk,1955-12-29
Uno,Valtorta,1953-01-26
Masadi,Cherinka,1952-02-18
Guozhong,Grabner,1954-02-23
Shigeichiro,Spieker,1955-11-22
Mingdong,Staelin,1954-05-25
Masadi,Suri,1953-06-25
Sanjai,Caine,1954-12-07
Constantino,Zykh,1952-03-10
True,Muchinsky,1954-04-27
Baoqiu,Azuma,1955-09-25
Rosalie,Garnick,1953-12-27
Mack,Perna,1954-01-17
Carrsten,Anily,1954-07-08
Vishu,Falby,1955-04-03
Jaana,Roisin,1955-01-28
Huan,Iwayama,1955-07-15
Mohammad,Schaaf,1952-05-17
Pintsang,Rothenberg,1954-09-05
Hiroyasu,Przulj,1953-01-07
Dekang,Ambroszkiewicz,1955-08-26
Chenye,Hanratty,1955-05-02
Reuven,Kushnir,1955-03-04
Troy,Bala,1952-10-02
Insup,Ibel,1955-02-26
Zhilian,Parascandalo,1954-12-23
Jaewon,Nooteboom,1955-04-10
Poorav,Bahr,1953-10-29
Stepehn,Pocchiola,1954-02-22
Arumugam,Bresenham,1952-07-04
Sanjay,Breugel,1954-11-15
